expert_tile,model_tile,same_action,expert_shanten,model_shanten,expert_ukeire,model_ukeire,shanten_difference,ukeire_difference,model_prob,category,offset
4p,4p,True,1,1,12,12,0,0,0.9307349324226379,exact_match,1243.0
9s,9s,True,0,0,3,3,0,0,0.9857931733131409,exact_match,1244.0
4s,2p,False,2,1,46,12,1,34,0.2536909282207489,better_shanten,1245.0
west,1m,False,3,3,27,26,0,1,0.6050654649734497,near_equivalent,1246.0
south,south,True,2,2,16,16,0,0,0.8391653299331665,exact_match,1247.0
south,south,True,3,3,41,41,0,0,0.4655399024486542,exact_match,1248.0
north,north,True,2,2,16,16,0,0,0.9431920051574707,exact_match,1249.0
1m,1m,True,3,3,53,53,0,0,0.5841498374938965,exact_match,1250.0
west,west,True,2,2,16,16,0,0,0.9343044757843018,exact_match,1251.0
red,red,True,2,2,47,47,0,0,0.5803160667419434,exact_match,1252.0
red,red,True,2,2,16,16,0,0,0.9516008496284485,exact_match,1253.0
7p,white,False,2,2,28,65,0,-37,0.8550035953521729,better_ukeire,1254.0
9m,9m,True,2,2,16,16,0,0,0.8731240034103394,exact_match,1255.0
4m,white,False,2,2,41,41,0,0,0.5783107280731201,equivalent,1256.0
east,east,True,2,2,16,16,0,0,0.8566999435424805,exact_match,1257.0
2s,9m,False,1,1,17,14,0,3,0.710805356502533,ukeire_loss,1258.0
1s,9p,False,2,2,19,16,0,3,0.4029156267642975,ukeire_loss,1259.0
9m,2m,False,1,1,14,17,0,-3,0.9588273763656616,better_ukeire,1260.0
east,east,True,2,2,18,18,0,0,0.6835764050483704,exact_match,1261.0
6m,3p,False,2,1,45,14,1,31,0.5481652021408081,better_shanten,1262.0
4s,9p,False,3,2,19,14,1,5,0.5846909880638123,better_shanten,1263.0
6m,north,False,3,2,46,45,1,1,0.6377091407775879,better_shanten,1264.0
5s,9p,False,3,2,19,13,1,6,0.813973069190979,better_shanten,1265.0
2s,north,False,4,4,26,26,0,0,0.5627578496932983,equivalent,1266.0
4s,4s,True,4,4,25,25,0,0,0.31318679451942444,exact_match,1267.0
7m,9s,False,3,3,18,18,0,0,0.2891688346862793,equivalent,1268.0
9m,9m,True,3,3,17,17,0,0,0.6878321766853333,exact_match,1269.0
3m,3m,True,3,3,17,17,0,0,0.8196814656257629,exact_match,1270.0
9s,6m,False,3,3,16,16,0,0,0.8253204226493835,equivalent,1271.0
9p,6p,False,3,3,17,16,0,1,0.42254430055618286,near_equivalent,1272.0
6p,1m,False,3,3,15,16,0,-1,0.37532708048820496,near_equivalent,1273.0
1m,north,False,3,3,17,16,0,1,0.24116016924381256,near_equivalent,1274.0
1p,north,False,3,2,14,12,1,2,0.3241438865661621,better_shanten,1275.0
1p,1p,True,3,3,32,32,0,0,0.6421863436698914,exact_match,1276.0
north,south,False,3,3,29,31,0,-2,0.48695963621139526,near_equivalent,1277.0
south,south,True,2,2,20,20,0,0,0.5444961786270142,exact_match,1278.0
east,east,True,2,2,20,20,0,0,0.6429493427276611,exact_match,1279.0
9s,1s,False,4,4,27,27,0,0,0.6846833229064941,equivalent,1280.0
1s,1s,True,4,4,80,80,0,0,0.8421845436096191,exact_match,1281.0
8p,green,False,3,3,22,22,0,0,0.5364721417427063,equivalent,1282.0
9p,9p,True,3,3,20,20,0,0,0.8643593192100525,exact_match,1283.0
red,9m,False,3,3,24,24,0,0,0.3696666657924652,equivalent,1284.0
north,1s,False,4,3,59,23,1,36,0.6182563900947571,better_shanten,1285.0
9m,9m,True,3,3,23,23,0,0,0.3764065206050873,exact_match,1286.0
north,1s,False,2,2,16,16,0,0,0.36492857336997986,equivalent,1287.0
1s,1s,True,1,1,12,12,0,0,0.5340359210968018,exact_match,1288.0
1p,1p,True,1,1,12,12,0,0,0.9356721639633179,exact_match,1289.0
7p,7p,True,1,1,12,12,0,0,0.8892099857330322,exact_match,1290.0
west,west,True,1,1,12,12,0,0,0.8226115107536316,exact_match,1291.0
green,green,True,0,0,8,8,0,0,0.9918075203895569,exact_match,1292.0
9p,9p,True,0,0,8,8,0,0,0.9975488781929016,exact_match,1293.0
green,green,True,0,0,8,8,0,0,0.9958601593971252,exact_match,1294.0
4m,4m,True,0,0,8,8,0,0,0.7928117513656616,exact_match,1295.0
west,west,True,0,0,8,8,0,0,0.9783837199211121,exact_match,1296.0
5m,5m,True,0,0,8,8,0,0,0.7438502907752991,exact_match,1297.0
west,west,True,3,3,21,21,0,0,0.7871554493904114,exact_match,1298.0
1m,green,False,3,3,20,21,0,-1,0.4696454703807831,near_equivalent,1299.0
green,green,True,3,3,63,63,0,0,0.7078478932380676,exact_match,1300.0
white,white,True,2,2,50,50,0,0,0.4992322325706482,exact_match,1301.0
8p,8p,True,2,2,51,51,0,0,0.6722145080566406,exact_match,1302.0
1s,8s,False,2,2,50,51,0,-1,0.8720771074295044,near_equivalent,1303.0
east,east,True,2,2,48,48,0,0,0.6936054825782776,exact_match,1304.0
1m,1m,True,2,2,46,46,0,0,0.7842881679534912,exact_match,1305.0
3p,3p,True,1,1,31,31,0,0,0.4800121486186981,exact_match,1306.0
west,west,True,1,1,30,30,0,0,0.5901471376419067,exact_match,1307.0
8s,8s,True,0,0,8,8,0,0,0.9188425540924072,exact_match,1308.0
south,west,False,2,2,24,24,0,0,0.4968793988227844,equivalent,1309.0
west,west,True,2,2,41,41,0,0,0.648300290107727,exact_match,1310.0
east,east,True,2,2,49,49,0,0,0.8674691319465637,exact_match,1311.0
red,red,True,2,2,49,49,0,0,0.8088743686676025,exact_match,1312.0
2p,2p,True,2,2,57,57,0,0,0.8398711085319519,exact_match,1313.0
1s,1s,True,2,2,56,56,0,0,0.9703999757766724,exact_match,1314.0
6m,8s,False,1,2,11,55,-1,-44,0.8067492246627808,shanten_loss,1315.0
south,north,False,4,4,74,74,0,0,0.4497414529323578,equivalent,1316.0
9m,north,False,3,3,65,69,0,-4,0.5734937787055969,better_ukeire,1317.0
1m,1m,True,3,3,64,64,0,0,0.8374845385551453,exact_match,1318.0
8p,north,False,3,3,65,78,0,-13,0.3475762903690338,better_ukeire,1319.0
5m,5m,True,2,2,28,28,0,0,0.3407945930957794,exact_match,1320.0
8m,8m,True,2,2,27,27,0,0,0.9289085268974304,exact_match,1321.0
3p,green,False,2,1,35,13,1,22,0.4288201332092285,better_shanten,1322.0
6m,6m,True,2,2,32,32,0,0,0.8604610562324524,exact_match,1323.0
2m,2m,True,2,2,31,31,0,0,0.7233911156654358,exact_match,1324.0
1p,1p,True,1,1,18,18,0,0,0.7813829779624939,exact_match,1325.0
green,green,True,0,0,2,2,0,0,0.7399373054504395,exact_match,1326.0
west,west,True,0,0,2,2,0,0,0.9715957641601562,exact_match,1327.0
white,white,True,0,0,2,2,0,0,0.9506164193153381,exact_match,1328.0
9s,9s,True,2,2,27,27,0,0,0.9630427360534668,exact_match,1329.0
green,green,True,2,2,26,26,0,0,0.9311492443084717,exact_match,1330.0
red,red,True,2,2,25,25,0,0,0.8904786705970764,exact_match,1331.0
3s,7m,False,2,2,26,25,0,1,0.5627954006195068,near_equivalent,1332.0
green,green,True,2,2,25,25,0,0,0.7378867268562317,exact_match,1333.0
2m,2m,True,1,1,16,16,0,0,0.5870610475540161,exact_match,1334.0
south,south,True,3,3,55,55,0,0,0.8443674445152283,exact_match,1335.0
1s,1s,True,2,2,16,16,0,0,0.3477490246295929,exact_match,1336.0
9p,9p,True,3,3,54,54,0,0,0.5039997100830078,exact_match,1337.0
1p,1p,True,2,2,20,20,0,0,0.4014686942100525,exact_match,1338.0
east,east,True,2,2,15,15,0,0,0.6155956983566284,exact_match,1339.0
7s,7s,True,1,1,12,12,0,0,0.7387378811836243,exact_match,1340.0
2p,2p,True,2,2,23,23,0,0,0.8159462809562683,exact_match,1341.0
3p,3p,True,1,1,12,12,0,0,0.9280216097831726,exact_match,1342.0
1m,6s,False,2,2,22,22,0,0,0.6612213253974915,equivalent,1343.0
1s,1s,True,1,1,12,12,0,0,0.9215095043182373,exact_match,1344.0
white,white,True,3,3,55,55,0,0,0.7953654527664185,exact_match,1345.0
west,west,True,3,3,61,61,0,0,0.4595320224761963,exact_match,1346.0
5p,2p,False,2,2,29,26,0,3,0.3499595522880554,ukeire_loss,1347.0
7s,7s,True,1,1,15,15,0,0,0.5775072574615479,exact_match,1348.0
4m,4m,True,1,1,15,15,0,0,0.7649136781692505,exact_match,1349.0
7m,7m,True,1,1,15,15,0,0,0.5848377346992493,exact_match,1350.0
9p,9p,True,1,1,13,13,0,0,0.8953365683555603,exact_match,1351.0
2p,2p,True,1,1,22,22,0,0,0.8789400458335876,exact_match,1352.0
3m,3m,True,1,1,22,22,0,0,0.9275009632110596,exact_match,1353.0
9s,9s,True,3,3,65,65,0,0,0.5829598307609558,exact_match,1354.0
red,red,True,3,3,69,69,0,0,0.4371646046638489,exact_match,1355.0
white,white,True,2,2,62,62,0,0,0.849365234375,exact_match,1356.0
9p,5p,False,2,1,61,12,1,49,0.3339211940765381,better_shanten,1357.0
8p,8p,True,1,1,15,15,0,0,0.8037822842597961,exact_match,1358.0
red,1m,False,2,2,19,19,0,0,0.4998251795768738,equivalent,1359.0
1m,1m,True,2,2,46,46,0,0,0.9602746367454529,exact_match,1360.0
9m,9m,True,2,2,44,44,0,0,0.9881289601325989,exact_match,1361.0
1m,1m,True,2,2,41,41,0,0,0.9833880662918091,exact_match,1362.0
5s,5s,True,1,1,31,31,0,0,0.32561832666397095,exact_match,1363.0
2m,2m,True,1,1,31,31,0,0,0.989794909954071,exact_match,1364.0
8s,7s,False,1,1,17,31,0,-14,0.808997631072998,better_ukeire,1365.0
white,white,True,1,1,17,17,0,0,0.7728116512298584,exact_match,1366.0
9s,2p,False,1,1,17,17,0,0,0.6453506350517273,equivalent,1367.0
6s,6s,True,1,1,17,17,0,0,0.36257752776145935,exact_match,1368.0
3s,2p,False,1,1,17,17,0,0,0.29704222083091736,equivalent,1369.0
7p,7p,True,1,1,17,17,0,0,0.49239328503608704,exact_match,1370.0
1s,1m,False,3,3,38,38,0,0,0.49463319778442383,equivalent,1371.0
1m,1m,True,2,2,14,14,0,0,0.6331366896629333,exact_match,1372.0
6s,white,False,2,2,12,13,0,-1,0.5948666334152222,near_equivalent,1373.0
white,white,True,1,1,6,6,0,0,0.3843258321285248,exact_match,1374.0
west,west,True,4,4,27,27,0,0,0.5773892402648926,exact_match,1375.0
9p,9p,True,5,5,82,82,0,0,0.36797744035720825,exact_match,1376.0
east,east,True,4,4,85,85,0,0,0.5771308541297913,exact_match,1377.0
1m,north,False,4,4,69,78,0,-9,0.3605697751045227,better_ukeire,1378.0
1s,red,False,3,3,65,67,0,-2,0.4642072916030884,near_equivalent,1379.0
9m,9m,True,3,3,42,42,0,0,0.4347452223300934,exact_match,1380.0
9s,9s,True,3,3,63,63,0,0,0.4571082890033722,exact_match,1381.0
3s,3s,True,2,2,15,15,0,0,0.5687861442565918,exact_match,1382.0
2p,2p,True,2,2,17,17,0,0,0.33985263109207153,exact_match,1383.0
1p,1p,True,1,1,15,15,0,0,0.9413586854934692,exact_match,1384.0
red,red,True,2,2,19,19,0,0,0.39584699273109436,exact_match,1385.0
8m,7s,False,1,1,33,13,0,20,0.5167567729949951,ukeire_loss,1386.0
8p,8p,True,1,1,7,7,0,0,0.8653124570846558,exact_match,1387.0
6m,2s,False,1,1,24,32,0,-8,0.5654823184013367,better_ukeire,1388.0
2s,red,False,1,1,15,24,0,-9,0.8656783699989319,better_ukeire,1389.0
red,red,True,0,0,5,5,0,0,0.8768590688705444,exact_match,1390.0
north,north,True,3,3,43,43,0,0,0.8429311513900757,exact_match,1391.0
white,white,True,2,2,15,15,0,0,0.5257779359817505,exact_match,1392.0
1s,1s,True,2,2,23,23,0,0,0.7201905250549316,exact_match,1393.0
6s,5p,False,2,2,22,22,0,0,0.5833812952041626,equivalent,1394.0
5p,9m,False,1,1,15,15,0,0,0.581609308719635,equivalent,1395.0
1p,1p,True,1,1,14,14,0,0,0.9638379216194153,exact_match,1396.0
9m,9m,True,1,1,13,13,0,0,0.5427927374839783,exact_match,1397.0
3m,3m,True,1,1,13,13,0,0,0.6290767192840576,exact_match,1398.0
9m,1p,False,1,1,13,13,0,0,0.932341992855072,equivalent,1399.0
3p,3p,True,1,1,13,13,0,0,0.5097442865371704,exact_match,1400.0
4p,1p,False,1,1,13,13,0,0,0.6343851685523987,equivalent,1401.0
9p,1p,False,1,1,13,13,0,0,0.4959295094013214,equivalent,1402.0
7p,7p,True,1,1,13,13,0,0,0.6266998648643494,exact_match,1403.0
1p,1p,True,1,1,25,25,0,0,0.7980425953865051,exact_match,1404.0
3p,3p,True,1,1,25,25,0,0,0.9462515711784363,exact_match,1405.0
7p,7p,True,1,1,25,25,0,0,0.9826583862304688,exact_match,1406.0
south,south,True,2,2,44,44,0,0,0.8220204710960388,exact_match,1407.0
red,red,True,2,2,51,51,0,0,0.8816360235214233,exact_match,1408.0
9m,9m,True,2,2,50,50,0,0,0.9647926688194275,exact_match,1409.0
green,green,True,2,2,50,50,0,0,0.9033649563789368,exact_match,1410.0
2m,2m,True,1,1,17,17,0,0,0.7873010635375977,exact_match,1411.0
west,west,True,1,1,17,17,0,0,0.9692760109901428,exact_match,1412.0
9p,9p,True,1,1,17,17,0,0,0.9675797820091248,exact_match,1413.0
2p,red,False,1,1,17,17,0,0,0.8562356233596802,equivalent,1414.0
7p,7p,True,1,1,17,17,0,0,0.7509564161300659,exact_match,1415.0
9s,9s,True,3,3,34,34,0,0,0.7254186868667603,exact_match,1416.0
8s,red,False,3,3,36,50,0,-14,0.6842015385627747,better_ukeire,1417.0
white,white,True,3,3,47,47,0,0,0.41204798221588135,exact_match,1418.0
9s,9s,True,3,3,46,46,0,0,0.7601562738418579,exact_match,1419.0
green,red,False,2,2,14,14,0,0,0.5250064730644226,equivalent,1420.0
2p,2p,True,1,1,12,12,0,0,0.5467938184738159,exact_match,1421.0
green,green,True,1,1,12,12,0,0,0.7252272367477417,exact_match,1422.0
red,red,True,1,1,12,12,0,0,0.7870928645133972,exact_match,1423.0
2s,2s,True,1,1,12,12,0,0,0.6730846762657166,exact_match,1424.0
south,south,True,5,5,98,98,0,0,0.5263935923576355,exact_match,1425.0
2p,north,False,3,3,39,51,0,-12,0.3251880705356598,better_ukeire,1426.0
green,1m,False,4,4,81,74,0,7,0.4452173113822937,ukeire_loss,1427.0
north,north,True,2,2,24,24,0,0,0.43059486150741577,exact_match,1428.0
1m,1m,True,3,3,30,30,0,0,0.5462914109230042,exact_match,1429.0
green,2m,False,2,2,35,23,0,12,0.7190773487091064,ukeire_loss,1430.0
9p,9p,True,2,2,15,15,0,0,0.477069616317749,exact_match,1431.0
9s,south,False,2,2,37,47,0,-10,0.4360145032405853,better_ukeire,1432.0
red,red,True,2,2,15,15,0,0,0.6632490158081055,exact_match,1433.0
south,south,True,1,1,14,14,0,0,0.9371030330657959,exact_match,1434.0
north,north,True,2,2,15,15,0,0,0.9081818461418152,exact_match,1435.0
1s,1s,True,0,0,5,5,0,0,0.4043676555156708,exact_match,1436.0
7m,white,False,3,2,48,11,1,37,0.8298669457435608,better_shanten,1437.0
9s,9m,False,3,3,46,48,0,-2,0.6271207332611084,near_equivalent,1438.0
white,white,True,2,2,41,41,0,0,0.38669756054878235,exact_match,1439.0
south,south,True,2,2,40,40,0,0,0.7488700151443481,exact_match,1440.0
2p,9p,False,3,2,58,40,1,18,0.7223095893859863,better_shanten,1441.0
1p,1p,True,2,2,38,38,0,0,0.8131737112998962,exact_match,1442.0
8p,9p,False,3,3,47,45,0,2,0.5634306073188782,near_equivalent,1443.0
green,9p,False,4,4,82,82,0,0,0.38374555110931396,equivalent,1444.0
1m,1m,True,2,2,18,18,0,0,0.8065662980079651,exact_match,1445.0
9s,9s,True,3,3,67,67,0,0,0.6158292889595032,exact_match,1446.0
9m,8m,False,2,2,10,10,0,0,0.5529285073280334,equivalent,1447.0
9p,9p,True,2,2,24,24,0,0,0.8115206956863403,exact_match,1448.0
8m,8m,True,2,2,33,33,0,0,0.8960620164871216,exact_match,1449.0
2s,north,False,2,2,23,23,0,0,0.7324903607368469,equivalent,1450.0
3p,3p,True,1,1,24,24,0,0,0.42824313044548035,exact_match,1451.0
8s,8s,True,2,2,23,23,0,0,0.8491734862327576,exact_match,1452.0
7m,7m,True,1,1,23,23,0,0,0.9297457933425903,exact_match,1453.0
north,north,True,2,2,26,26,0,0,0.5709421634674072,exact_match,1454.0
6m,6m,True,1,1,21,21,0,0,0.9349623322486877,exact_match,1455.0
white,white,True,2,2,26,26,0,0,0.8522325158119202,exact_match,1456.0
east,east,True,5,5,81,81,0,0,0.544873833656311,exact_match,1457.0
south,south,True,4,4,70,70,0,0,0.6718006134033203,exact_match,1458.0
red,white,False,4,4,73,74,0,-1,0.4246715307235718,near_equivalent,1459.0
1p,white,False,3,3,62,63,0,-1,0.5907977223396301,near_equivalent,1460.0
white,white,True,2,2,47,47,0,0,0.4071974456310272,exact_match,1461.0
9s,1s,False,2,2,39,42,0,-3,0.38462212681770325,better_ukeire,1462.0
1s,1s,True,1,1,10,10,0,0,0.6005755662918091,exact_match,1463.0
8p,8p,True,1,1,9,9,0,0,0.7410046458244324,exact_match,1464.0
7s,4p,False,1,1,28,28,0,0,0.5159362554550171,equivalent,1465.0
9p,1m,False,1,1,15,15,0,0,0.5986762642860413,equivalent,1466.0
south,south,True,2,2,10,10,0,0,0.9555897116661072,exact_match,1467.0
east,east,True,2,2,10,10,0,0,0.5853577256202698,exact_match,1468.0
green,green,True,2,2,30,30,0,0,0.8165383338928223,exact_match,1469.0
2p,2p,True,2,2,35,35,0,0,0.7493019700050354,exact_match,1470.0
6s,6s,True,2,2,30,30,0,0,0.5782700777053833,exact_match,1471.0
white,white,True,2,2,30,30,0,0,0.9050427675247192,exact_match,1472.0
south,south,True,2,2,30,30,0,0,0.8820849061012268,exact_match,1473.0
7s,7s,True,2,2,27,27,0,0,0.9274539947509766,exact_match,1474.0
1s,3s,False,1,2,8,26,-1,-18,0.6723781228065491,shanten_loss,1475.0
green,green,True,1,1,8,8,0,0,0.832990288734436,exact_match,1476.0
1p,1p,True,2,2,22,22,0,0,0.9257249236106873,exact_match,1477.0
east,east,True,4,4,46,46,0,0,0.5514115691184998,exact_match,1478.0
8p,8p,True,1,1,19,19,0,0,0.9298060536384583,exact_match,1479.0
white,9m,False,4,4,44,44,0,0,0.42138081789016724,equivalent,1480.0
2s,2s,True,0,0,8,8,0,0,0.5211472511291504,exact_match,1481.0
red,east,False,4,4,40,43,0,-3,0.37668755650520325,better_ukeire,1482.0
green,green,True,3,3,31,31,0,0,0.43403956294059753,exact_match,1483.0
4p,4p,True,0,0,8,8,0,0,0.827170729637146,exact_match,1484.0
9m,1m,False,2,2,20,20,0,0,0.418639212846756,equivalent,1485.0
1p,1p,True,0,0,8,8,0,0,0.9965726137161255,exact_match,1486.0
north,north,True,2,2,20,20,0,0,0.5260365605354309,exact_match,1487.0
2p,2p,True,0,0,8,8,0,0,0.9941654205322266,exact_match,1488.0
1m,1m,True,2,2,18,18,0,0,0.40151092410087585,exact_match,1489.0
9p,9p,True,2,2,30,30,0,0,0.6272910833358765,exact_match,1490.0
west,west,True,1,1,16,16,0,0,0.7374976873397827,exact_match,1491.0
8m,8m,True,1,1,16,16,0,0,0.8685696125030518,exact_match,1492.0
white,white,True,1,1,16,16,0,0,0.8025506138801575,exact_match,1493.0
west,west,True,1,1,16,16,0,0,0.8101761341094971,exact_match,1494.0
1s,1s,True,1,1,16,16,0,0,0.9259888529777527,exact_match,1495.0
9s,9s,True,0,0,6,6,0,0,0.9779177904129028,exact_match,1496.0
south,9s,False,4,4,66,66,0,0,0.44240161776542664,equivalent,1497.0
green,9s,False,4,4,74,74,0,0,0.6309130787849426,equivalent,1498.0
red,9s,False,3,3,35,34,0,1,0.4565010368824005,near_equivalent,1499.0
1s,9s,False,3,3,34,34,0,0,0.5724303126335144,equivalent,1500.0
9s,9s,True,3,3,59,59,0,0,0.5174110531806946,exact_match,1501.0
east,east,True,2,2,28,28,0,0,0.4938808083534241,exact_match,1502.0
2s,2s,True,2,2,28,28,0,0,0.782179594039917,exact_match,1503.0
2p,6s,False,2,2,46,40,0,6,0.5387334227561951,ukeire_loss,1504.0
7p,6s,False,2,2,41,39,0,2,0.34461164474487305,near_equivalent,1505.0
red,red,True,2,2,38,38,0,0,0.8311207294464111,exact_match,1506.0
1s,1s,True,2,2,37,37,0,0,0.5850682258605957,exact_match,1507.0
8m,8p,False,1,2,12,26,-1,-14,0.4217947721481323,shanten_loss,1508.0
north,north,True,1,1,11,11,0,0,0.8771575689315796,exact_match,1509.0
1s,1s,True,4,4,26,26,0,0,0.5205238461494446,exact_match,1510.0
west,west,True,3,3,20,20,0,0,0.5162598490715027,exact_match,1511.0
8p,green,False,3,3,61,73,0,-12,0.3140520453453064,better_ukeire,1512.0
9p,9p,True,3,3,61,61,0,0,0.7485672831535339,exact_match,1513.0
8s,8s,True,2,2,19,19,0,0,0.5357314348220825,exact_match,1514.0
3p,3p,True,2,2,27,27,0,0,0.7772140502929688,exact_match,1515.0
8m,green,False,1,1,15,15,0,0,0.7876361012458801,equivalent,1516.0
green,green,True,0,0,8,8,0,0,0.9421975612640381,exact_match,1517.0
1s,1s,True,2,2,42,42,0,0,0.9172648191452026,exact_match,1518.0
white,white,True,2,2,12,12,0,0,0.9261685013771057,exact_match,1519.0
9s,9s,True,2,2,42,42,0,0,0.9423666000366211,exact_match,1520.0
9m,9m,True,2,2,12,12,0,0,0.9854474663734436,exact_match,1521.0
9p,9p,True,2,2,41,41,0,0,0.4463650584220886,exact_match,1522.0
3s,3s,True,1,1,7,7,0,0,0.5701820254325867,exact_match,1523.0
1m,1m,True,2,2,40,40,0,0,0.90561443567276,exact_match,1524.0
6m,6m,True,1,1,8,8,0,0,0.6458640098571777,exact_match,1525.0
east,east,True,1,1,11,11,0,0,0.6906591653823853,exact_match,1526.0
7p,7p,True,1,1,11,11,0,0,0.6638069748878479,exact_match,1527.0
2p,2p,True,1,1,12,12,0,0,0.3047593832015991,exact_match,1528.0
7m,7m,True,1,1,11,11,0,0,0.9556439518928528,exact_match,1529.0
1p,1p,True,0,0,4,4,0,0,0.9786222577095032,exact_match,1530.0
7s,1p,False,1,1,12,9,0,3,0.45711565017700195,ukeire_loss,1531.0
9p,9p,True,3,3,31,31,0,0,0.47654634714126587,exact_match,1532.0
1s,west,False,3,3,43,51,0,-8,0.6799480319023132,better_ukeire,1533.0
white,green,False,3,3,52,52,0,0,0.5918411016464233,equivalent,1534.0
west,west,True,2,2,36,36,0,0,0.48695793747901917,exact_match,1535.0
green,green,True,3,3,70,70,0,0,0.7455543875694275,exact_match,1536.0
green,green,True,2,2,48,48,0,0,0.5497337579727173,exact_match,1537.0
south,south,True,3,3,69,69,0,0,0.6492246985435486,exact_match,1538.0
red,red,True,2,2,57,57,0,0,0.8926638960838318,exact_match,1539.0
7s,east,False,3,2,64,11,1,53,0.9025387167930603,better_shanten,1540.0
3s,3s,True,2,2,56,56,0,0,0.8676138520240784,exact_match,1541.0
east,east,True,2,2,53,53,0,0,0.9052088260650635,exact_match,1542.0
6s,6s,True,1,1,19,19,0,0,0.3613570034503937,exact_match,1543.0
1m,1m,True,2,2,54,54,0,0,0.6838300824165344,exact_match,1544.0
red,red,True,1,1,19,19,0,0,0.898640513420105,exact_match,1545.0
8p,8p,True,2,2,53,53,0,0,0.9545326828956604,exact_match,1546.0
4s,4s,True,1,1,19,19,0,0,0.8627116084098816,exact_match,1547.0
3p,9m,False,1,2,12,50,-1,-38,0.8865349292755127,shanten_loss,1548.0
3m,3p,False,1,1,17,19,0,-2,0.31852155923843384,near_equivalent,1549.0
7s,7s,True,1,1,17,17,0,0,0.901995837688446,exact_match,1550.0
8s,8s,True,1,1,16,16,0,0,0.6597890853881836,exact_match,1551.0
9p,9p,True,1,1,16,16,0,0,0.869935154914856,exact_match,1552.0
7p,7p,True,0,0,7,7,0,0,0.4493177533149719,exact_match,1553.0
8s,8s,True,0,0,7,7,0,0,0.9201039671897888,exact_match,1554.0
north,north,True,0,0,7,7,0,0,0.9811480641365051,exact_match,1555.0
8s,8s,True,3,3,56,56,0,0,0.45501744747161865,exact_match,1556.0
white,1s,False,3,3,58,54,0,4,0.6348147988319397,ukeire_loss,1557.0
1s,1s,True,2,2,19,19,0,0,0.6668713688850403,exact_match,1558.0
5s,5s,True,2,2,38,38,0,0,0.509075939655304,exact_match,1559.0
5m,east,False,1,1,10,23,0,-13,0.6585801839828491,better_ukeire,1560.0
4m,east,False,1,1,10,26,0,-16,0.8148698806762695,better_ukeire,1561.0
east,3m,False,0,0,3,0,0,3,0.7504470944404602,ukeire_loss,1562.0
3m,3m,True,0,0,6,6,0,0,0.9688869714736938,exact_match,1563.0
white,white,True,2,2,16,16,0,0,0.5679449439048767,exact_match,1564.0
south,south,True,2,2,24,24,0,0,0.7654085755348206,exact_match,1565.0
4s,red,False,1,1,12,12,0,0,0.92300945520401,equivalent,1566.0
1s,1m,False,2,2,24,21,0,3,0.5922213196754456,ukeire_loss,1567.0
red,north,False,1,1,12,12,0,0,0.5245310068130493,equivalent,1568.0
1s,1s,True,2,2,26,26,0,0,0.9587244391441345,exact_match,1569.0
3s,3s,True,1,1,12,12,0,0,0.5717771053314209,exact_match,1570.0
4p,4p,True,2,2,26,26,0,0,0.8051087856292725,exact_match,1571.0
north,north,True,0,0,6,6,0,0,0.8321710824966431,exact_match,1572.0
8s,8s,True,2,2,24,24,0,0,0.8711674213409424,exact_match,1573.0
4m,4m,True,0,0,6,6,0,0,0.9378831386566162,exact_match,1574.0
7s,7s,True,2,2,23,23,0,0,0.8271822929382324,exact_match,1575.0
2m,2m,True,2,2,53,53,0,0,0.6576434969902039,exact_match,1576.0
8s,8s,True,1,1,14,14,0,0,0.9866622090339661,exact_match,1577.0
5s,5s,True,1,1,14,14,0,0,0.9663100242614746,exact_match,1578.0
5s,5s,True,1,1,14,14,0,0,0.9695451259613037,exact_match,1579.0
1m,1m,True,4,4,27,27,0,0,0.39761313796043396,exact_match,1580.0
south,south,True,2,2,56,56,0,0,0.8691571950912476,exact_match,1581.0
9m,9p,False,4,4,78,74,0,4,0.35475897789001465,ukeire_loss,1582.0
east,east,True,2,2,55,55,0,0,0.9166696667671204,exact_match,1583.0
9p,9p,True,3,3,15,15,0,0,0.4578753411769867,exact_match,1584.0
7m,2s,False,1,1,8,8,0,0,0.7988094687461853,equivalent,1585.0
9m,9m,True,3,3,15,15,0,0,0.7047358751296997,exact_match,1586.0
9p,9p,True,1,1,8,8,0,0,0.9433395266532898,exact_match,1587.0
white,white,True,3,3,23,23,0,0,0.40372300148010254,exact_match,1588.0
west,west,True,1,1,8,8,0,0,0.8902977705001831,exact_match,1589.0
1s,green,False,3,3,43,49,0,-6,0.5543261170387268,better_ukeire,1590.0
9s,4s,False,1,1,8,8,0,0,0.44715404510498047,equivalent,1591.0
south,south,True,3,3,43,43,0,0,0.6471942067146301,exact_match,1592.0
4s,1s,False,1,1,7,7,0,0,0.5238129496574402,equivalent,1593.0
8p,8p,True,3,3,41,41,0,0,0.6244155168533325,exact_match,1594.0
7s,red,False,1,1,7,7,0,0,0.8049010038375854,equivalent,1595.0
2m,green,False,2,2,20,20,0,0,0.6066938638687134,equivalent,1596.0
red,2p,False,1,1,6,6,0,0,0.7157037854194641,equivalent,1597.0
8m,8m,True,2,2,20,20,0,0,0.8151562809944153,exact_match,1598.0
1s,8p,False,2,1,31,6,1,25,0.797734797000885,better_shanten,1599.0
5m,green,False,1,1,8,8,0,0,0.6866542100906372,equivalent,1600.0
1m,2s,False,2,2,31,30,0,1,0.547963559627533,near_equivalent,1601.0
7m,7m,True,1,1,8,8,0,0,0.7207841873168945,exact_match,1602.0
